Category,Date Time,Cost,Detail
Eating Out,2024-10-01 11:52:07,381,Jollibee
Housing,2024-10-01 19:30:47,859,DIY
Groceries,2024-10-01 19:50:47,1453.54,Savemore naga
Taxes,2024-10-10 16:10:06,2200,
Subscriptions,2024-10-01 16:19:56,599,Smart
Eating Out,2024-10-10 17:35:17,418,Chowking
Eating Out,2024-10-11 19:08:20,294,Jollibee
Wants,2024-10-12 11:22:19,800,Temu
Eating Out,2024-10-12 11:43:43,169,Tokyo joe
Eating Out,2024-10-12 13:17:16,700,Starbucks
Pets,2024-10-12 18:42:15,500,Cat litter and food
Eating Out,2024-10-12 18:42:28,260,Ogis
Groceries,2024-10-12 18:43:53,1200,Sm city
Eating Out,2024-10-13 8:49:22,775,Starbucks
Food,2024-10-13 14:06:27,30,Bottled water
Transportation,2024-10-13 14:06:44,30,Parking it park
Transportation,2024-10-13 14:06:58,30,Parking sm
Transportation,2024-10-13 14:07:08,20,Parking assist
Eating Out,2024-10-13 17:32:21,325,Albertos
Debt Repayment,2024-10-09 17:46:12,3993.33,Sofa installment 3
Debt Repayment,2024-10-09 17:46:48,624.58,Galaxy buds installment 1
Debt Repayment,2024-10-09 17:48:00,3124.58,S24 ultra installment 1
Debt Repayment,2024-10-09 17:48:32,24333.34,Laptop installment 3
Pets,2024-10-04 17:51:37,165,Cat food
Eating Out,2024-10-05 17:52:35,651,Jollibee
Eating Out,2024-10-04 17:52:57,635,Starbucks
Eating Out,2024-10-04 17:53:10,255,Tokyo joe
Transportation,2024-10-07 17:53:33,1000,Shell
Transportation,2024-10-08 17:53:56,1000,Petron
Eating Out,2024-10-07 17:54:19,1056.61,Mendokoro
Eating Out,2024-10-08 17:54:47,129,Llaollao
Eating Out,2024-10-07 17:55:12,195,10 dove st
Clothing,2024-10-08 17:56:01,582.25,Panty
Groceries,2024-10-08 17:56:24,679.7,SM seaside
Meds,2024-10-08 17:57:09,460,Amiabel
Emergency,2024-10-07 17:57:59,34200,Dentures
Subscriptions,2024-10-07 17:59:41,249,Youtube premium
Subscriptions,2024-10-12 18:00:23,1660.48,Fireflies
Giving,2024-10-09 18:07:48,1000,Kay2
Housing,2024-10-13 18:24:15,3436,Veco
Food,2024-10-14 1:54:05,145,Bbq dinner
Food,2024-10-14 1:55:14,150,Lunch
Subscriptions,2024-10-15 8:20:08,799,Globe
Eating Out,2024-10-15 19:28:14,1118,Parola
Food,2024-10-16 18:26:45,274,711
Eating Out,2024-10-17 10:08:09,705,Starbucks
Food,2024-10-17 14:21:56,95,Siomai
Food,2024-10-17 14:22:11,105,Mr toppings
Eating Out,2024-10-17 16:55:44,198,Potato corner
Transportation,2024-10-17 18:22:24,60,Parking
Transportation,2024-10-17 18:23:05,1000,Petron
Wants,2024-10-17 20:05:51,1000,Massage
Food,2024-10-19 19:07:28,70,Binangkal
Groceries,2024-10-19 19:08:32,1981.32,Savemore naga
Food,2024-10-20 12:44:27,325,Tokyo joe
Eating Out,2024-10-20 13:28:09,665,Starbucks
Travel,2024-10-20 14:10:03,7720,The Corrs